item_id|date|category|title|content|link|photo_link|is_ai_related
財經_20250617_1|2025-06-16|財經|以伊戰爭油價井噴！ 布油波段漲1成維持7字頭|以色列和伊朗衝突仍持續當中，加深地緣政治風險，使國際原油價格再度走高，布蘭特與美國西德州中期原油雙雙站上近期新高，引發市場關注，若衝突持續升溫，海上運輸受阻，油價的下一波走勢，是否會一舉突破每桶100美元大關，來聽專家解析。伊朗若掐斷石油生命線　小摩估油價衝130美元飛彈一顆又一顆落下，油田整片冒出火光，燒出投資人恐慌情緒，今（16）天油價再度開高，布蘭特和美國西德州中期原油分別每桶78.04、76.54美元，維持高檔震盪，市場關注油價是否有機會進一步突破，每桶100美元的關鍵價位。群益期貨分析師王永明表示，「今年的原油基本面是比較不一樣，在川普堅持低油價政策的前景之下，其實OPEC+的產能是大開的，只要荷姆茲海峽並沒有被伊朗封鎖，或者是目前沒有攻擊到，海上運輸的船隻的話，我們認為不太會有，油價會有再度失控的前景」。多家大型投行，紛紛釋出最新預測，瑞銀指出衝突可能長期化，將會為油價帶來每桶3至5美元的地緣政治溢價，高盛評估假如荷莫茲海峽被中斷，油價將上漲25%，摩根大通更上修目標價，最糟糕的狀況之下油價可能飆上每桶130美元。街口投信基金經理人林泳光表示，「已經有一些投行，喊到上看130元，前波高點的目標價，我個人的看法是，油價可能會在這邊進行，一個震盪區間的整理，那等到後續伊朗有更明確的，進一步報復行動，或軍事行動之後，油價才會走一波新的行情」。OPEC+宣布7月增產　專家估油價上有壓、下有撐地緣政治風險以及政策季節性需求，能源市場進入「高波動新常態」從中期來看，法人分析指出OPEC+近期逐步鬆綁減產協議，形成潛在的「供給壓力」讓油價呈現上有壓力、下有支撐的震盪格局，專家建議應採取觀望策略，少量逢低布局再伺機調整投資方向。台北／綜合報導　|https://news.ttv.com.tw/news/11406160022700N|https://cdn.ttv.com.tw/manasystem/FileData/News/a2fe1084-00c3-4718-991c-dc89a014eea8.jpg|False
財經_20250617_2|2025-06-16|財經|以伊交火！台股也多空交戰 小跌23點守住2200...|中東戰事急速升溫，短線金融市場雜音偏多，除了台指期將結算，美股四巫日也將到來等，本週更進入超級央行週，市場氛圍觀望，讓台股開低震盪，早盤電子股表現不一，台積電與鴻海盤下整理，加權指數徘迴在22000點附近，盤面上，國際油價上漲，支撐石化品價格，塑化類股整體漲幅超過1.7%，航運族群，慧洋-KY與中航漲幅2~3%，加權指數尾盤一度翻紅，不過終場仍是下跌了23點，收在22049點，成交量2884億元。以色列與伊朗衝突未停歇，台股開盤賣壓明顯，開低下跌百點後，進入震盪整理，跌幅收斂面臨22000點保衛戰，電子權值股表現不一，台積電、鴻海盤下震盪，但聯電與大立光漲幅仍有1%上下。永豐期貨分析師劉佳倫指出，如果比較極端一點，假設說伊朗要把荷姆茲海峽封鎖，那可能就會讓原油的供應鏈斷鏈，油價可能就會上看到100美元以上，甚至120、130美元，但基本上我們目前還是傾向，應該只會落在比較基本情境，即便有打但是沒有再擴大的部分，可能也會對台股來說，也會是一個慢慢震盪，回溫到年線之上，都是有機會的。盤面上，國際油價大漲，塑化類股包括台聚、南亞與台塑，漲幅都有2~3%，伊朗威脅封鎖荷姆茲海峽，恐影響船隻通行，運價醞釀漲勢，部分航運族群包括長榮上漲1%，慧洋-KY、新興等表現強勢。本土法人預估，中東戰事升級，在樂觀情境下，如果衝突沒有再擴大，台股還是有機會站穩年線之上，但本週金融市場變數多，除了台灣央行、理監事會議召開、美國FOMC會議舉行等，股市震盪機率偏高。第一金投顧董事長黃詣庭表示，「週三是台股期貨的結算日，週五則是美國期權的四巫日，所以本週來說的話，比較多事件性的因素，短期而言的話觀望氛圍比較濃厚，上方的壓力會是在22500點左右，下方的支撐，大概在21000點左右，大概就是過去這十個交易日的相對低點，如果22000有守住的話，那整體的態勢會是，相對比較強的狀況。」專家對台股中長線並不悲觀，但短線需留意解套賣壓，7月初關稅大限將至，美國與各國談判進展受到矚目，股市短期仍受消息面與國際經貿牽動，投資人仍需提高警覺。台北／綜合報導　|https://news.ttv.com.tw/news/11406160021900N|https://cdn.ttv.com.tw/manasystem/FileData/News/6d275935-9f44-497a-a613-f4cd63e7b2e5.jpg|True
財經_20250617_3|2025-06-16|財經|哈日族注意！日幣又有甜甜價 匯率探「0.2082...|日本是許多台灣人最愛去的國家之一，據日本政府觀光局（JNTO）先前公開的數據，2024年就有604萬4400台人到日本旅遊。而今（16）日台銀日圓現鈔賣出價在上午時一度來到「0.2082」的甜甜價，為去年7月12日以來最甜，簡單來說，以近3個月的匯率高點「0.2336元」對比的話，換新台幣5萬元，可多換2.61萬的日幣。今（16）日新台幣兌美元今天開盤價為29.65元，早盤最高29.518元、最低29.66元；日幣方面，回貶至144價位，今（16）日開盤來到144.57兌1美元。也因日幣貶，台幣升的情況，台銀日圓現鈔賣出價在上午一度來到「0.2082」的甜甜價，為去年7月12日以來最甜。另據日本政府觀光局先前公布的資料，604萬4400台人在日本消費了10,936億日圓，平均每人消費額為18萬8千日圓。若是以旅客人均消費額來計算，英國旅客以38萬3000日圓奪冠，澳洲則是38萬2000日圓位居第二，第三則是法國旅客人均消費36萬1000日圓。|https://news.ttv.com.tw/news/11406160001600W|https://cdn.ttv.com.tw/manasystem/FileData/News/717e5b1c-15d2-470c-9e5c-908dfc5263d6.jpg|False
財經_20250617_4|2025-06-16|財經|伊朗以色列衝突！ 台股開盤下跌14點至22058...|以色列、伊朗爆發兩國史上最激烈衝突，上週五（13日）美股重挫，法人分析，台股短線壓力難免，外加進入年線壓力區，預期台股短線呈現高檔震盪，今（16）天一開盤，台股下跌14.38點，以22058.57點開出，早盤呈現拉鋸，面臨22000點關卡保衛戰。|https://news.ttv.com.tw/news/11406160000600W|https://cdn.ttv.com.tw/manasystem/FileData/News/25436e92-254b-4ed1-835f-e9f0e086936b.jpg|False
財經_20250617_5|2025-06-15|財經|外銷訂單估連四月成長！　台股仍有「4大利空」|根據經濟部調查，預估我國廠商5月接單金額，達550億至570億美元、年增12.5%到16.6%，已連續四個月正成長，可能是AI需求依舊強勁，加上美國關稅政策，帶來的拉貨潮仍在進行，即便上半年有多家公司業績表現不俗，但受到國際政經局勢影響，台股後市仍存有不少利空。外銷訂單持續暢旺　接單金額連4個月正成長國際情勢不穩，但我國外銷訂單依舊旺！根據經濟部廠商調查，預期5月我國接單金額達550億至570億美元，年增12.5%到16.6%、連續四個月正成長，而廠商接單狀況跟四月相比，有14.5%增加、多數持平，經濟部分析，是AI需求強勁，加上美國關稅政策帶來的拉貨潮仍在進行式。分析師白易弘說明，「第二季的這個出口的金額，往年來講的話電子股算是淡季，但今年有點淡季不淡，那也有可能會形成第三季、第四季，他們預先拉貨庫存累積，就要去化庫存，可能第三季第四季就會旺季不旺」。拉貨潮帶動上半年出口　下半年力道恐漸縮分析師認為，拉貨潮讓上半年出口業績表現衝了好大一波，但下半年，整體力道可能就會漸漸縮減，即便近來不少公司財報表現不俗，但受以色列跟伊朗衝突影響，市場避險情緒升溫，也讓台股動能有所減損，有法人認為後市有「4大利空」包含台股期貨淨空單升高、中東緊張局勢升溫、美國關稅政策未定，以及聯準會將公布的利率決策。白易弘說明，「目前市場比較預估會是在9月才會有降息，期望的是7月9號之後，關稅能夠在一個合理的範圍之內，譬如說10%到15%，這樣對台股的影響就相對會慢慢偏向於回歸到基本面」。台北／陳酈亭、甘而棣　|https://news.ttv.com.tw/news/11406150025700N|https://cdn.ttv.com.tw/manasystem/FileData/News/552ed918-efef-4995-a691-d2bd6f83373b.jpg|True
財經_20250617_6|2025-06-14|財經|全球央行「瘋囤黃金」！台灣持有量排第13　贏過英...|近年來國際金價一路攀升，根據貴金屬交易平台最新統計，截至2025年全球黃金儲備前三名的國家，分別是美國、德國、義大利，至於台灣則位居全球第13名，以422.69公噸的黃金持有量，贏過英國、新加坡、沙烏地阿拉伯等金融國家。金價不斷飆升，加上各國政府為了因應地緣政治風險，與國際貨幣市場波動開始大舉掃入黃金有關，根據貴金屬交易平台最新報告，截至今年，全球黃金儲備前十大國中，美國穩居霸主，持有高達8133.5公噸的黃金，換算人均黃金儲備量23.9公克；德國以3351.6公噸排名第二，是歐洲第一大持有國，人均黃金儲備40.2公克；第三名則是義大利。台灣則以422.69公噸的儲備量位居全球第13名，高於英國、新加坡、沙烏地阿拉伯等國。報告還指出，近5年間全球每生產8盎司黃金，各國央行幾乎買下其中1盎司，買氣遠遠超過黃金ETF等金融商品5倍以上，且各國儲備黃金總量已占史上開採總量17%，尤其最新黃金價格每盎司已經突破3430美元，依照趨勢發展，有望突破4000美元，黃金價格再創新高。亞太商工總會執行長邱達生表示，目前囤黃金已經是國際趨勢，台灣央行最主要持有的還是以美元資產為主，不過川普上任後，各國央行配置資產開始減少對美元的持有、增持黃金，而這樣的情況目前看下來仍會持續。專家指出，金價是否上漲的關鍵，在美國聯準會的利率走向以及美元是否走弱，若再加上地緣政治升溫等因素，黃金作為避險資產，有高機率金價能再創新高！台視新聞／林品瑄、余苓瑀　|https://news.ttv.com.tw/news/11406140010300I|https://cdn.ttv.com.tw/manasystem/FileData/News/df49ad5c-4f6a-49d1-bbe7-92d13e7a6104.jpg|False
財經_20250617_7|2025-06-13|財經|廣達AI爆單德州要擴廠！ 林百里想晚十年退休|廣達董事長林百里表示，客戶給的AI伺服器訂單非常多，因此在美國德州擴廠勢在必行。而針對量子電腦的布局，林百里說這是機密，並形容十年磨一劍，目標是打造出客戶需要的量子電腦，笑說若真的需要十年，自己還能賴皮晚點退休。量子電腦還在磨劍 林百里評人形機器不好做林百里表示，「美國製造我們很有經驗了，客人也蠻滿意了，川普2.0一定要美國製造，那很好啊，我們就在美國增加生產力，擴廠是一個肯定的事情。」儘管台幣升值難免對公司有影響，但內部避險機制一直都在進行，而關稅調整後，最主要還是由客戶支付，因此影響有限。而被問到量子電腦進度，林百里說，這是機密不能講，但目標就是要打造量子電腦，這才是客人所要的，研究調查越來越成熟，不過距離應用還有多久，並不是那麼清楚，因為應用一直再變動。林百里形容，量子電腦現在開始磨劍，十年磨一劍剛剛好，他可以賴皮晚點退休。但要出現相對應的應用才會有商機，強調公司的長期策略是發展運算的機器，也就是打造更先進的電腦。智慧醫療廣達最大挑戰！林百里：轉佈局海外在機器人佈局上，廣達專注於用在智慧製造的機器手臂，林百里直言，「我們做的是智慧製造裡適用的機器手臂，機器人又難做、又貴、又沒有客人，所以我們還在研究中，（我）沒有參加，20年已經超出我的想像，也不是我的事了，我那時候96歲了。」廣達近年發展三大產品線，包括智慧汽車和智慧製造都已經有獲利，唯獨智慧醫療仍然是一大挑戰，林百里坦言，台灣智慧醫療市場小，因此轉向美國市場，即使AI軟體已經做好了，但還要通過臨床試驗、認證申請等等，目前仍是一條漫漫長路。桃園／黃靖棻、蘇韋銘　|https://news.ttv.com.tw/news/11406130025200F|https://cdn.ttv.com.tw/manasystem/FileData/News/de0100b8-0280-4979-b696-73bceba62b03.jpg|True
財經_20250617_8|2025-06-13|財經|以伊衝突！台積電貼息中　台股跌214點守2200...|以色列與伊朗開戰，即使週四美股收紅，還是衝擊台股週五開盤就下殺超過300點，最低來到21984點，終場下跌214點，收在22072點，跌破五日線，跌幅0.96%，成交金額3653億元。而台積電持續貼息，終場下跌15元收在1030元，鴻海、聯發科走弱，廣達、緯創力守紅盤，股王信驊填息達陣，逆勢翻紅，油價大漲激勵台塑化漲逾3%作收，部分金融股、運輸、軍工類股相對抗跌。以色列對伊朗先發制人發動空襲，戰事再起衝擊加權指數，開盤下挫逾300點，一度跌破22000點，盤中跌幅收斂，在五日線附近震盪，收盤五日線沒守住。富邦金投顧董事長陳奕光表示，盤中破了兩萬二，很明顯應該是國安基金有進場做一些托盤的動作，其實這一波漲了5000多點之後，在這個地方做震盪其實算合理，那就會擔心這個月的CPI，可能會因為油價上漲而推升，進而延後聯準會降息的時程，這是今天讓股市出現比較明顯拉回的主要原因。中東緊繃軍工上膛！寶一.雷虎.漢翔逆勢走強盤面上個股跌多漲少，資金轉入軍工股雷虎、寶一等個股，權值股台積電持續貼息，鴻海平盤附近整理，金控股東會旺日，金融股走勢不一，富邦金偏弱，國泰金盤中翻紅，短線加權指數漲多修正，專家認為來到兩萬二以上有壓力，月線有撐，注意外資累積期貨空單，並買超反向ETF，以及台幣升值衝擊季底財報。至於何時能突破盤整格局？則看好美股四大指數已回到去年起漲點，台幣升值仍會帶動資金行情，以及除息後進入各投行長線布局時機等因素，都有利行情整理過後，反彈至去年起漲點23035。台新投顧副總黃文清指出，當然還是要屏息去等待川普對等關稅未來的發展，現階段大家可以有比較和緩的期待，只是真正到最後的數字是多少，則需要時間等待。專家建議投資人目前選股不選市，高周轉率操作，持股比例五成即可，留意低基期類股，像是觀光、航空、綠能等族群，以及沒跟上漲勢的AI類股，在大盤月線附近可逢低承接，靜待關稅豁免期結束前，美國與各國談判進展，再判斷行情下一步走勢。台北／綜合報導　|https://news.ttv.com.tw/news/11406130022500N|https://cdn.ttv.com.tw/manasystem/FileData/News/c1a80ab2-7dd7-4aa1-a331-64d9acafe652.jpg|True
財經_20250617_9|2025-06-13|財經|新台幣一度升逾1.58角！ 觸及「29.502」...|美元指數持續弱勢，加上以色列與伊朗緊張局勢升溫，激勵非美貨幣走高，新台幣持續升值，今（13）天開盤後，新台幣兌美元匯率一度升1.58角觸及29.502元，創下近3年來新高。美元指數跳水、關稅 新台幣恐「挺進」28元有匯銀人士指出，新台幣兌美元匯率，未來將往28元價位前進，導火線 可能是美元指數跳水，也可能是關稅談判，財經專家邱敏寬示警，「前幾次的狀況告訴我們，當台幣在升值的時候，通常台股的表現也不會太好。」台經院景氣預測中心副主任邱達生也點出，最主要衝擊當然是我們的製造業出口，出口產品在市場上競爭力受到傷害，會壓縮這些製造商的毛利。影響產業鏈 國際原油價格飆漲恐推升CPI價格同樣波動的還有美國TI原油期貨，截至13號早上9點30分，每桶價格 一度來到73.5美元，上漲8.02%，倫敦布蘭特原油期貨價格每桶一度來到74.44美元，上漲7.32%，雙雙一度創下近2個月來最高價！台經院景氣預測中心副主任邱達生示警，能源價格會滲透到整條供應鏈，因此，國際油價上漲可能影響到「生產者物價指數」，恐怕也會導致消費者物價指數上揚。對台灣的影響上，財經專家邱敏寬指出，這會讓天然氣價格也跟著上來，台灣特別是在夏天，這是非常需要燃料的，一定會影響到台灣包括股市、金融市場的交易。台經院景氣預測中心副主任邱達生也說，「整條製造的供應鏈都需要使用到能源，接下來就也會拉抬到CPI指數上揚，通膨更加黏著。」國際局勢持續緊張複雜，不確定因素增加，也讓13號台股加權指數早盤 一度下跌超過200點，市場還得要持續觀望。台視新聞／綜合報導 |https://news.ttv.com.tw/news/11406130000700W|https://cdn.ttv.com.tw/manasystem/FileData/News/0c99058b-eb4c-4006-bb94-27ac50053bd0.jpg|False
財經_20250617_10|2025-06-12|財經|台積電連9次秒填息失利！專家點主因「免驚」 張忠...|護國神山台積電今（12）天進行除息，市場原先預期會上演第19次「當日填息」行情，不過開盤卻意外貼息，以1055元開出，下跌5元，終場下跌15元收在最低點1045元；受到美股四大指數走跌，台積電又貼息情況之下，加權指數開低走低，終場收在22287點，下跌182點，成交量3386億元，資金轉進中小型類股，櫃買指數逆勢收紅0.76點，收在234.77點，成交金額也有1154億元。台積電沒有秒填息收最低1045元 台股失守22300護國神山台積電12日進行除息，每股配發現金股利4.5元，除息參考價為1060元，原本市場預期台積電會照慣例上演「秒填息」行情，不料開盤卻跌破眼鏡，出現貼息走勢，最低來到1045元。分析師白易弘指出，台積電今天沒有辦法秒填息，主要是前兩天有先預先拉起來，從990元拉到1060元，今天再填息的話賣壓相對比較大一點，整體台積電在未來的展望正向樂觀，可能是有預期會秒填息的投資者預先買進，造成今天表現上來講，沒有辦法延續秒填息的力道。台積電24次除息「填息率100%」 專家仍看好後續力道根據統計，台積電改為季配息後，已進行24次除息，填息率100%，其中更有18次是在除息當天就完成填息，最長的填息時間是15個交易日，而這次使否能夠順利達成也備受外界關注。白易弘提到，台積電在整體擴產、量產，整個產能利用率部分比較正向樂觀，雖然今天貼息，預估未來填息的機會還是相對比較高，不用因為一時的貼息而感到緊張過度反應。台積電除息魏哲家可領3071萬 專家看好台股短震不改多頭格局若以創辦人張忠謀退休前持股12.5萬張來計算，他將可領到高達5.62億元的現金股利，現任董事長魏哲家6825張，也將進帳3071萬元。受到台積電貼息拖累還有美股收黑影響，加權指數開低走低，資金流入中小型股，櫃買指數逆勢收紅。分析師陳冠廷表示，大盤22000點是一個短線支撐，上檔壓力的話比如前高壓力24000點，算是比較遠一點，在這過程中就是創高回檔，壓力比較大就是24000點前高的壓力。分析師指出，短線修正難免，但基本面、籌碼面都維持多頭氛圍，投資人可在第三季進場，第四季台股有望再寫下亮眼成績單。台北／林浩宇、謝隆証　|https://news.ttv.com.tw/news/11406120021900F|https://cdn.ttv.com.tw/manasystem/FileData/News/2b1e9131-4869-42ef-a795-ff60ab115225.jpg|True
